Parent/Child (SITKA)	Grant #	CFDA #	Title	"Program Manager"	Prog Index	Project Codes	Funding increase	Federal Fund Code	"Funds Awarded"	"Matching Funds"	"Grant Total"	DNR Match Amount	"Non-DNR/Other Match"	"Landowner Match"	"Match PI & Alpha Code"	"Expend Method"	Start Date	End Date	Notes
C	2010-DG-11062764-010	10.664	State Fire Assitance-Recurrent	John	214	---		SPCF	"$850,000"	"$850,000"	"$1,700,000"	"$850,000"	$0	$0			7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	State Fire Assitance-NFP	John	214	---		SPS2	"$488,000"	"$488,000"	"$976,000"	"$488,000"	$0	$0			7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	Urban & Community Forestry	Linden	244	RPW		SPUF	"$382,500"	"$382,500"	"$765,000"	"$382,500"	$0	$0			7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	Western Competitive - Urban Tech Transfer	Linden	244	RPY		SPUF	"$20,000"	"$20,000"	"$40,000"	"$20,000"	$0	$0			7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	Forest Stewardship - Resource Mgmt	Steve G	25B	      		SPST	"$310,000"	"$310,000"	"$620,000"	"$310,000"	$0	$0			7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	Ties to the Land	Steve G	25B	OEG		SPST	"$75,000"	"$75,000"	"$150,000"	"$75,000"	$0	$0			7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	WSFM Hazard Mitigation-SE Region CWPP	Steve G	25R	OFF		SPS2	"$200,000"	"$200,000"	"$400,000"	"$47,414"	"$45,000"	"$107,586"			7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	WSFM Hazard Mitigation-Ferry/Okanogan	Steve G & H	25R	OFB		SPS2	"$200,000"	"$200,000"	"$400,000"	"$47,414"	"$10,000"	"$142,586"			7/9/2010	7/31/2015	Steve G PM/Steve H's project area
C	2010-DG-11062764-010	10.664	WSFM Hazard Mitigation-Stevens/Pend Oreille	Steve G & H	25R	OEW		SPS2	"$300,000"	"$300,000"	"$600,000"	"$80,376"	"$10,000"	"$209,624"			7/9/2010	7/31/2015	Steve G PM/Steve H's project area
C	2010-DG-11062764-010	10.664	WSFM Hazard Mitigation-Spokane/Lincoln	Steve G & H	25R	OEK		SPS2	"$300,000"	"$300,000"	"$600,000"	"$80,376"	"$10,000"	"$209,624"			7/9/2010	7/31/2015	Steve G PM/Steve H's project area
C	2010-DG-11062764-010	10.664	NFP WUI Community Assist-Husum	Chuck	237	RQJ		WFHF	"$180,000"	"$181,200"	"$361,200"	$0	"$10,500"	"$170,700"		Staff & IPRs	7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	NFP WUI Community Assist-Trout Lake	Chuck	237	RQK		WFHF	"$191,232"	"$201,700"	"$392,932"	$0	"$31,000"	"$170,700"		Staff & IPRs	7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	NFP WUI Community Assist-Chumstick	Chuck	237	RQN		WFHF	"$200,000"	"$204,100"	"$404,100"	$0	"$24,300"	"$179,800"		Staff & IPRs	7/9/2010	7/31/2015	
C	2010-DG-11062764-010	10.664	NFP WUI Community Assist-Greenwater	Jane Potter	237	RQO		WFHF	"$77,000"	"$77,000"	"$154,000"	"$15,800"	"$7,200"	"$54,000"		IPRs	7/9/2010	7/31/2015	PM? Funds expended
C	2010-DG-11062764-010	10.664	Hazard Mit Biomass-Sherman Creek	Steve H	237	RQP		SPS2	"$200,000"	"$200,000"	"$400,000"	"$200,000"	$0	$0			7/9/2010	7/31/2015	PM? Funds expended
C	2010-DG-11062764-010	10.664	Hazard Mit Biomass-Aeneas Valley	Steve H	237	RQQ		SPS2	"$200,000"	"$200,000"	"$400,000"	"$200,000"	$0	$0			7/9/2010	7/31/2015	PM? Funds expended
C	2010-DG-11062764-010	10.664	Hazard Mit Biomass-Blue Slide	Steve H	237	RQR		SPS2	"$200,000"	"$200,000"	"$400,000"	"$200,000"	$0	$0			7/9/2010	7/31/2015	PM? Funds expended
C	2011-DG-11062764-015	10.664	State Fire Assitance-Recurrent	John	214	---		SPCF	"$700,500"	"$700,500"	"$1,401,000"	"$700,500"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	State Fire Assitance-NFP	John	214	---		SPS2	"$966,900"	"$966,900"	"$1,933,800"	"$966,900"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	Urban & Community Forestry	Linden	244	OHO		SPUF	"$442,100"	"$442,100"	"$884,200"	"$442,100"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	UCF Veterans	Linden	244	OHN		SPUF	"$222,000"	"$222,000"	"$444,000"	"$222,000"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	WSFM Hazard Mitigation-Firewise	KR	237	OHS		SPS2	"$264,400"	"$264,400"	"$528,800"	"$264,400"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	Forest Stewardship - Resource Mgmt	Steve G	25B	RFZ		SPST	"$300,000"	"$300,000"	"$600,000"	"$300,000"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	WSFM Hazard Mitigation-Spokane/Lincoln	Steve G	25R	OXC		SPS2	"$300,000"	"$300,000"	"$600,000"	"$109,832"	$0	"$190,168"			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	WSFM Hazard Mitigation-Stevens/Pend Oreille	Steve G	25R	OXD		SPS2	"$300,000"	"$300,000"	"$600,000"	"$109,832"	$0	"$190,168"			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	WSFM Hazard Mitigation-Ferry/Okanogan	Steve G	25R	OXE		SPS2	"$300,000"	"$300,000"	"$600,000"	"$109,832"	$0	"$190,168"			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	WSFM Hazard Mitigation-SE Region CWPP	Steve G	25R	OXF		SPS2	"$300,000"	"$300,000"	"$600,000"	"$109,832"	$0	"$190,168"			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	Western Competitive Wind River-Fire	Steve G	25R	OIK		SPS2	"$167,544"	"$167,544"	"$335,088"	"$13,324"	$0	"$154,220"			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	Western Competitive Wind River-Stewardship	Steve G	25N	---		SPST	"$132,456"	"$132,456"	"$264,912"	"$132,456"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	Western Competive Sanpoil/Kettle-Stewardship	Karen	271	OIQ		SPST	"$200,000"	"$300,000"	"$500,000"	"$200,000"	"$100,000"	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	Western Competive Sanpoil/Kettle-Forest Health	Karen	271	OCL		SPS5	"$70,000"	"$70,000"	"$140,000"	"$70,000"	$0	$0			8/24/2011	8/23/2016	
C	2011-DG-11062764-015	10.664	Western Competive Sanpoil/Kettle-Fire	Karen	271	OCM		SPS2	"$30,000"	"$30,000"	"$60,000"	"$30,000"	$0	$0			8/24/2011	8/23/2016	
C	2012-DG-11062752-031	10.664	Turnbull	Myron 	237	OVS			"$200,000"	$0	"$200,000"	$0	$0	$0			8/23/2012	8/22/2017	
C	2012-DG-11062752-031	10.664	Tiger Highway	Myron 	237	OVR			"$76,500"	$0	"$76,500"	$0	$0	$0			8/23/2012	8/22/2017	
C	2012-DG-11062752-031	10.664	Rocky Sacheen	Myron 	237	OVQ			"$200,000"	$0	"$200,000"	$0	$0	$0			8/23/2012	8/22/2017	
C	2012-DG-11062752-031	10.664	Mazama	Myron 	237	OVP			"$200,000"	$0	"$200,000"	$0	$0	$0			8/23/2012	8/22/2017	
C	2012-DG-11062764-018	10.664	State Fire Assistance-Recurrent	John	212	---			"$545,425"	"$545,425"	"$1,090,850"	"$545,425"	$0	$0			7/24/2012	7/24/2017	
C	2012-DG-11062764-018	10.664	State Fire Assistance-NFP	John	212	---			"$671,000"	"$671,000"	"$1,342,000"	"$671,000"	$0	$0			7/24/2012	7/24/2017	
C	2012-DG-11062764-018	10.664	Urban & Community Forestry	Linden	244	OVY			"$434,900"	"$434,900"	"$869,800"	"$434,900"	$0	$0			7/24/2012	7/24/2017	
C	2012-DG-11062764-018	10.664	Urban & Community Forestry-Inmate Education	Linden	244	OWA			"$113,000"	"$113,000"	"$226,000"	"$113,000"	$0	$0			7/24/2012	7/24/2017	
C	2012-DG-11062764-018	10.664	Forest Stewardship - Resource Mgmt	Steve G	25B	GII			"$257,000"	"$257,000"	"$514,000"	"$257,000"	$0	$0			7/24/2012	7/24/2017	
C	2012-DG-11062764-018	10.664	WSFM Hazard Mitigation-PCC CWPP	Andy T	237	"OSL, OSN, OST"			"$300,000"	"$300,000"	"$600,000"	"$250,000"	$0	"$50,000"			7/24/2012	7/24/2017	
