REGION,SUMMARY,GRANTS,Levenshtein Distance Ratio
NE,Genetic Resources,Genetic Resources,1
NE,Winthrop,Winthrop,1
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance,0.980392157
NE,State Fire Assistance ,State Fire Assistance,0.976744186
NE,Forest Stewardship ,Forest Stewardship,0.972972973
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance - VFA,0.912280702
NE,State Fire Assistance ,State Fire Assistance - SFA,0.897959184
NE,State Fire Assistance ,State Fire Assistance-NFP,0.893617021
NE,Urban and Community Forest,Urban & Community Forestry,0.884615385
PC,Collins/Goat Point ,Collins/Goat Pt,0.882352941
NE,State Fire Assistance ,State Fire Assitance-NFP,0.869565217
PC,LSR - Chehalis River Basin - Gibbs,LSR - Chehalis River Basin,0.866666667
DIV,Urban & Community Forestry - Lampman,Urban & Community Forestry - UCF,0.852941176
DIV,Forest Health Monitoring - Ripley,Forest Health Monitoring,0.842105263
DIV,Urban & Community Forestry - Lampman,Urban & Community Forestry,0.838709677
DIV,Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance - VFA,0.835820896
NE,WSFM - Upper Kettle - Boles,WSFM - Upper Kettle,0.826086957
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance-Recurrent,0.819672131
DIV,Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance,0.819672131
DIV,Forest Stewardship - Gibbs,Forest Stewardship,0.818181818
NE,WSFM - Clear Lake - Boles,WSFM - Clear Lake,0.80952381
NE,State Fire Assistance ,State Fire Assistance - Recurrent,0.8
SE,WSFM - West Klickitat,West Klickitat,0.8
SE,WSFM - East Box Canyon - Chambers,WSFM - East Box Canyon,0.8
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance - SFA,0.8
NE,Urban and Community Forest,Urban & Community Forestry - UCF,0.793103448
NE,State Fire Assistance ,State Fire Assistance-Recurrent,0.79245283
DIV,Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance-Recurrent,0.788732394
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance - Recurrent,0.787878788
DIV,CPG - Urban & Community Forestry - Lampman,Urban & Community Forestry - UCF,0.783783784
SE,NFP WUI Upper Kittitas,Upper Kittitas,0.777777778
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance,0.777777778
SE,WSFM - North Yakima - Chambers,WSFM - North Yakima,0.775510204
NE, Stewardship ,Forest Stewardship,0.774193548
NE,State Fire Assistance ,State Fire Assitance-Recurrent,0.769230769
DIV,CPG - Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance - VFA,0.767123288
NE,Volunteer Fire Assistance ,State Fire Assistance,0.765957447
NE,State Fire Assistance ,Volunteer Fire Assistance,0.765957447
SE,WSFM - Leavenworth - Chambers,WSFM - Leavenworth,0.765957447
DIV,CPG - Urban & Community Forestry - Lampman,Urban & Community Forestry,0.764705882
DIV,Urban & Community Forestry - Lampman,Urban & Community Forestry-Inmate Education,0.759493671
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance-NFP,0.75862069
NE,Urban and Community Forest,Regional Urban & Community Forestry,0.754098361
NE,NFP WUI Metaline Pend Oreille,Metaline (Pend Oreille Cty),0.75
DIV,State Fire Assistance - Kaikkonen,State Fire Assistance-Recurrent,0.75
DIV,CPG - Volunteer Fire Assistance - Johnston,Volunteer Fire Assistance,0.746268657
SE,WSFM SE - Upper Kittitas,WSFM - Upper Kettle,0.744186047
NE,Genetics Resource - DeBell,Genetic Resources,0.744186047
NE,Volunteer Fire Assistance ,Volunteer Fire Assistance-National Fire Plan,0.742857143
SE,WSFM SE - Upper Kittitas,Upper Kittitas,0.736842105
DIV,State Fire Assistance - Kaikkonen,State Fire Assitance-NFP,0.736842105
